date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
5/27/2017,5/27/2017 10:10,250,,Saturday
5/27/2017,5/27/2017 10:17,250,,Saturday
5/27/2017,5/27/2017 10:30,250,,Saturday
5/27/2017,5/27/2017 10:38,250,,Saturday
5/27/2017,5/27/2017 10:45,250,,Saturday
5/27/2017,5/27/2017 10:52,250,,Saturday
5/27/2017,5/27/2017 10:59,250,,Saturday
5/27/2017,5/27/2017 11:17,250,,Saturday
5/27/2017,5/27/2017 11:24,250,,Saturday
5/27/2017,5/27/2017 11:30,250,,Saturday
5/27/2017,5/27/2017 11:38,250,,Saturday
5/27/2017,5/27/2017 11:45,250,,Saturday
5/27/2017,5/27/2017 11:52,250,,Saturday
5/27/2017,5/27/2017 11:59,250,,Saturday
5/27/2017,5/27/2017 12:03,250,,Saturday
5/27/2017,5/27/2017 12:10,250,,Saturday
5/27/2017,5/27/2017 12:17,250,,Saturday
5/27/2017,5/27/2017 12:30,250,,Saturday
5/27/2017,5/27/2017 12:38,250,,Saturday
5/27/2017,5/27/2017 12:45,250,,Saturday
5/27/2017,5/27/2017 12:52,250,,Saturday
5/27/2017,5/27/2017 12:59,250,,Saturday
5/27/2017,5/27/2017 13:03,250,,Saturday
5/27/2017,5/27/2017 13:17,250,,Saturday
5/27/2017,5/27/2017 13:24,250,,Saturday
5/27/2017,5/27/2017 13:30,250,,Saturday
5/27/2017,5/27/2017 13:45,250,,Saturday
5/27/2017,5/27/2017 13:52,250,,Saturday
5/27/2017,5/27/2017 13:59,250,,Saturday
5/27/2017,5/27/2017 14:03,250,,Saturday
5/27/2017,5/27/2017 14:10,250,,Saturday
5/27/2017,5/27/2017 14:17,195,,Saturday
5/27/2017,5/27/2017 14:24,195,,Saturday
5/27/2017,5/27/2017 14:30,195,,Saturday
5/27/2017,5/27/2017 14:38,195,,Saturday
5/27/2017,5/27/2017 14:45,195,,Saturday
5/27/2017,5/27/2017 14:52,195,,Saturday
5/27/2017,5/27/2017 14:59,195,,Saturday
5/27/2017,5/27/2017 15:03,195,,Saturday
5/27/2017,5/27/2017 15:10,195,,Saturday
5/27/2017,5/27/2017 15:17,195,,Saturday
5/27/2017,5/27/2017 15:24,195,,Saturday
5/27/2017,5/27/2017 15:30,195,,Saturday
5/27/2017,5/27/2017 15:38,195,,Saturday
5/27/2017,5/27/2017 15:45,195,,Saturday
5/27/2017,5/27/2017 15:52,195,,Saturday
5/27/2017,5/27/2017 15:59,195,,Saturday
5/27/2017,5/27/2017 16:03,195,,Saturday
5/27/2017,5/27/2017 16:10,195,,Saturday
5/27/2017,5/27/2017 16:17,195,,Saturday
5/27/2017,5/27/2017 16:24,195,,Saturday
5/27/2017,5/27/2017 16:30,195,,Saturday
5/27/2017,5/27/2017 16:45,195,,Saturday
